Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,61.220001,63.000000,59.980000,61.310001,59.424961,12099100
2020-03-12,57.130001,57.980000,53.500000,54.599998,52.921261,16856700
2020-03-13,57.459999,59.799999,54.459999,59.639999,57.806301,15473500
2020-03-16,53.680000,56.889999,52.209999,52.299999,50.691982,13566000
2020-03-17,53.630001,59.250000,52.639999,58.000000,56.216724,15473700
2020-03-18,54.349998,59.639999,53.060001,57.180000,55.421940,17953700
2020-03-19,56.799999,59.110001,54.139999,55.380001,53.677284,16247100
2020-03-20,55.810001,56.779999,53.529999,54.700001,53.018188,15682300
2020-03-23,53.860001,54.970001,52.040001,53.090000,51.457691,16336800
2020-03-24,55.130001,55.639999,52.860001,54.349998,52.678951,19331500
2020-03-25,54.400002,57.529999,52.709999,53.639999,51.990776,19601500
2020-03-26,53.650002,58.450001,52.279999,58.310001,56.517193,23189500
2020-03-27,56.750000,59.779999,55.820000,58.599998,56.798275,15034000
2020-03-30,58.919998,60.400002,57.779999,59.680000,57.845074,12939200
2020-03-31,59.180000,59.840000,58.180000,59.330002,57.505836,11018700
2020-04-01,57.750000,58.869999,57.200001,58.340000,56.546268,11474400
2020-04-02,56.770000,56.980000,54.070000,55.410000,53.706360,16796400
2020-04-03,55.220001,56.599998,54.349998,55.720001,54.006828,8793000
2020-04-06,57.770000,57.919998,55.779999,56.220001,54.491455,11833800
2020-04-07,57.900002,58.520000,56.160000,56.869999,55.121471,12324100
2020-04-08,57.330002,59.820000,56.849998,59.410000,57.583378,8559800
2020-04-09,59.520000,61.450001,59.320000,60.470001,58.610783,9169400
2020-04-13,60.500000,61.259998,58.119999,58.959999,57.147209,9990300
2020-04-14,59.880001,61.669998,59.669998,61.560001,59.667274,8254200
2020-04-15,60.650002,60.930000,59.450001,60.560001,58.698013,9272800
2020-04-16,60.840000,62.889999,60.430000,62.560001,60.636524,11098600
2020-04-17,64.010002,64.250000,62.349998,63.360001,61.411922,8006300
2020-04-20,62.750000,63.689999,62.160000,62.340000,60.423286,8217900
2020-04-21,61.509998,61.709999,59.970001,60.250000,58.397545,8569700
2020-04-22,60.790001,60.990002,60.080002,60.349998,58.983963,5742200
2020-04-23,60.889999,62.230000,60.860001,61.279999,59.892914,6053400
2020-04-24,61.340000,62.700001,60.980000,62.310001,60.899601,6098000
2020-04-27,62.980000,63.830002,62.810001,63.500000,62.062664,6728200
2020-04-28,65.000000,65.000000,62.779999,63.240002,61.808552,7346600
2020-04-29,63.520000,64.050003,62.520000,62.610001,61.192814,7689300
2020-04-30,62.349998,62.680000,61.410000,61.549999,60.156799,7361400
2020-05-01,60.790001,60.799999,59.270000,59.700001,58.348679,7715800
2020-05-04,59.160000,60.130001,58.939999,59.950001,58.593021,6372000
2020-05-05,60.630001,61.610001,60.349998,61.209999,59.824497,7846500
2020-05-06,63.430000,63.490002,60.259998,60.410000,59.042606,16386000
2020-05-07,61.360001,61.790001,60.849998,61.450001,60.059067,9783700
2020-05-08,62.160000,63.230000,61.759998,63.119999,61.691269,7322600
2020-05-11,62.709999,64.080002,62.680000,63.840000,62.394970,6912100
2020-05-12,64.199997,64.570000,63.049999,63.349998,61.916054,10781900
2020-05-13,63.279999,63.500000,60.759998,61.150002,59.765862,10931400
2020-05-14,62.310001,62.410000,60.340000,62.310001,60.899601,8854900
2020-05-15,61.770000,63.299999,61.709999,63.189999,61.759682,10420600
2020-05-18,64.470001,64.860001,63.669998,63.730000,62.287460,6820300
2020-05-19,63.299999,64.180000,62.869999,63.610001,62.170174,5061100
2020-05-20,64.099998,64.330002,62.990002,63.220001,61.789005,7046500
2020-05-21,62.950001,63.930000,62.730000,63.340000,61.906288,5484100
2020-05-22,63.419998,63.490002,62.889999,63.330002,61.896515,3495900
2020-05-26,64.470001,65.599998,64.330002,64.639999,63.176861,7974400
2020-05-27,64.970001,66.000000,63.849998,65.970001,64.476761,7118400
2020-05-28,66.699997,67.730003,66.410004,66.559998,65.053398,6599500
2020-05-29,66.389999,66.699997,64.620003,65.570000,64.085808,8979300
2020-06-01,65.440002,65.959999,65.010002,65.639999,64.154221,5187000
2020-06-02,65.639999,67.309998,65.410004,66.839996,65.327057,5463700
2020-06-03,67.139999,67.680000,66.239998,66.849998,65.336838,6102400
2020-06-04,66.290001,66.720001,65.949997,66.529999,65.024078,5468900
2020-06-05,67.279999,69.190002,67.129997,68.349998,66.802879,8598400
2020-06-08,68.199997,70.639999,68.160004,70.620003,69.021507,8556300
2020-06-09,69.870003,70.290001,68.980003,69.370003,67.799797,5957100
2020-06-10,69.580002,69.610001,67.379997,67.510002,65.981903,6344400
2020-06-11,66.110001,66.430000,62.709999,63.160000,61.730358,11927500
2020-06-12,64.769997,65.779999,62.740002,64.150002,62.697952,10345500
2020-06-15,63.029999,63.779999,61.820000,63.320000,61.886738,9379400
2020-06-16,64.970001,66.190002,63.919998,65.580002,64.095589,10975600
2020-06-17,66.000000,66.139999,64.669998,65.000000,63.528709,7183300
2020-06-18,64.650002,64.970001,63.889999,64.489998,63.030258,5852200
2020-06-19,65.910004,66.000000,64.110001,64.489998,63.030258,21245800
2020-06-22,64.540001,64.730003,63.279999,64.300003,62.844559,6069600
2020-06-23,64.860001,65.260002,64.330002,64.430000,62.971615,5260300
2020-06-24,63.810001,64.050003,62.330002,63.180000,61.749908,7164400
2020-06-25,62.700001,64.199997,62.419998,64.019997,62.570889,5681400
2020-06-26,63.900002,64.120003,62.720001,63.450001,62.013794,7321900
2020-06-29,64.000000,65.269997,63.869999,64.419998,62.961842,7109100
2020-06-30,64.709999,65.269997,63.959999,64.970001,63.499393,7036100
2020-07-01,64.970001,65.599998,64.489998,64.559998,63.098667,5008000
2020-07-02,65.160004,65.800003,64.559998,64.699997,63.235500,4700700
2020-07-06,65.059998,65.400002,64.540001,64.930000,63.460297,5307300
2020-07-07,64.320000,64.570000,63.639999,63.919998,62.473160,5845900
2020-07-08,63.799999,64.129997,62.430000,63.139999,61.710812,9400300
2020-07-09,62.340000,62.740002,60.549999,61.279999,59.892914,10172500
2020-07-10,61.400002,62.730000,61.000000,62.650002,61.231907,9474700
2020-07-13,62.669998,63.540001,62.369999,62.619999,61.202583,6745100
2020-07-14,62.419998,63.900002,62.200001,63.700001,62.258137,6563300
2020-07-15,63.950001,64.629997,63.490002,64.580002,63.118225,7171100
2020-07-16,64.500000,65.360001,64.120003,64.989998,63.518932,5783700
2020-07-17,65.309998,65.629997,65.019997,65.360001,63.880566,5120900
2020-07-20,65.339996,65.470001,63.750000,63.910000,62.463387,5679800
2020-07-21,63.880001,64.769997,63.549999,64.519997,63.059574,5954300
2020-07-22,64.110001,64.209999,63.130001,63.779999,62.823177,4836000
2020-07-23,63.799999,64.349998,63.529999,63.790001,62.833031,5138300
2020-07-24,64.279999,64.989998,63.009998,63.340000,62.389782,6436800
2020-07-27,62.860001,63.060001,62.110001,62.570000,61.631332,6993400
2020-07-28,62.419998,63.500000,62.230000,63.270000,62.320831,5593500
2020-07-29,63.459999,64.580002,63.090000,64.220001,63.256580,6376000
2020-07-30,63.660000,64.150002,63.279999,64.000000,63.039879,4600800
2020-07-31,63.790001,63.900002,62.290001,62.939999,61.995781,9200700
2020-08-03,63.450001,64.169998,63.020000,63.860001,62.901981,6130500
2020-08-04,63.740002,65.410004,63.669998,64.980003,64.005180,9482400
2020-08-05,65.540001,65.599998,63.900002,64.400002,63.433880,12908900
2020-08-06,64.550003,65.400002,63.919998,64.120003,63.158081,6644100
2020-08-07,63.790001,64.970001,63.650002,64.959999,63.985477,6115100
2020-08-10,64.900002,65.959999,64.790001,65.709999,64.724228,6516500
2020-08-11,66.300003,67.169998,65.070000,65.260002,64.280975,6957500
2020-08-12,65.830002,65.980003,64.610001,64.989998,64.015022,6867300
2020-08-13,64.570000,64.970001,64.050003,64.699997,63.729378,6558000
2020-08-14,64.279999,65.680000,64.089996,65.669998,64.684822,4920500
2020-08-17,65.849998,65.879997,64.879997,64.900002,63.926376,5603800
2020-08-18,65.010002,65.559998,64.900002,65.180000,64.202171,7118700
2020-08-19,65.389999,65.709999,64.989998,65.279999,64.300674,5070000
2020-08-20,64.820000,64.930000,63.639999,63.720001,62.764080,6035400
2020-08-21,63.700001,64.120003,63.430000,63.939999,62.980778,4961700
2020-08-24,64.010002,67.300003,63.419998,63.869999,62.911827,8360100
2020-08-25,64.059998,64.169998,63.189999,63.470001,62.517830,4326100
2020-08-26,63.119999,63.169998,61.889999,62.700001,61.759380,8198800
2020-08-27,62.630001,63.610001,62.270000,63.389999,62.439026,5074000
2020-08-28,63.470001,63.630001,62.830002,63.209999,62.261726,5045000
2020-08-31,62.459999,63.060001,62.110001,62.119999,61.188080,8171400
2020-09-01,62.009998,62.040001,59.950001,60.279999,59.375683,12375700
2020-09-02,60.299999,61.320000,60.180000,60.910000,59.996235,15721300
2020-09-03,61.380001,61.990002,60.040001,60.450001,59.543133,8928900
2020-09-04,60.450001,60.799999,59.290001,60.240002,59.336288,8655200
2020-09-08,60.430000,60.810001,59.279999,59.529999,58.636936,7801500
2020-09-09,59.689999,60.139999,59.209999,59.529999,58.636936,6259300
2020-09-10,59.439999,59.650002,57.959999,58.000000,57.129890,10105400
2020-09-11,58.130001,58.139999,57.060001,57.400002,56.538891,11597100
2020-09-14,57.630001,58.209999,57.549999,57.970001,57.100342,12955200
2020-09-15,58.000000,58.610001,56.990002,57.000000,56.144890,10139200
2020-09-16,57.200001,57.849998,56.099998,57.480000,56.617691,15419400
2020-09-17,57.099998,58.680000,56.820000,58.410000,57.533741,12278700
2020-09-18,58.509998,59.770000,57.880001,59.570000,58.676334,13532300
2020-09-21,58.849998,59.009998,57.959999,58.869999,57.986835,9784500
2020-09-22,58.810001,59.230000,58.090000,58.139999,57.267788,6906400
2020-09-23,58.160000,58.380001,57.369999,57.400002,56.538891,6726000
2020-09-24,57.180000,57.599998,56.349998,56.709999,55.859241,6960900
2020-09-25,56.310001,57.430000,56.110001,57.320000,56.460091,4911400
2020-09-28,57.599998,58.599998,57.599998,57.939999,57.070789,5304900
2020-09-29,57.950001,57.950001,57.049999,57.540001,56.676788,5779900
2020-09-30,57.639999,59.099998,57.599998,58.400002,57.523891,8156400
2020-10-01,58.430000,58.669998,57.360001,57.840000,56.972290,7559200
2020-10-02,57.090000,58.689999,56.919998,57.830002,56.962444,7143300
2020-10-05,58.259998,58.970001,58.189999,58.950001,58.065639,5168900
2020-10-06,59.110001,59.520000,58.160000,58.230000,57.356441,5708000
2020-10-07,58.599998,59.980000,58.560001,59.419998,58.528584,6061400
2020-10-08,59.630001,60.500000,59.330002,60.470001,59.562836,4894100
2020-10-09,60.799999,60.799999,59.209999,59.400002,58.508888,5698900
2020-10-12,59.500000,60.220001,59.270000,59.720001,58.824085,5806900
